Date,Season,Competition,Game Week,Group,Time,Match Venue,Home Team,Away Team,HTHG,HTAG,FTHG,FTAG,FTR,Remarks,Notes,HomeTeam Goals,AwayTeam Goals,HomeTeam XI,HomeTeam Reserves,AwayTeam XI,AwayTeam Reserves,HomeTeam Coach,AwayTeam Coach,Penalties
4/5/2023,2022/23,2023 NWFL Regular Season,12,B,4:00 PM,"Legacy Pitch, Surulere, Lagos",FC Robo Queens,Ibom Angels,2,1,7,1,H,Completed,,,,,,,,Emmanuel Osahon,Usen Ebuk,
4/12/2023,2022/23,2023 NWFL Regular Season,13,A,4:00 PM,"Osogbo Township Stadium, Osun",Osun Babes,Bayelsa Queens,0,1,0,1,A,Completed,,,,,,,,,,
4/12/2023,2022/23,2023 NWFL Regular Season,13,A,4:00 PM,"Old Parade Ground, Area 10, Abuja",Naija Ratels,Delta Queens,0,0,0,0,D,Completed,,,,,,,,,,
4/12/2023,2022/23,2023 NWFL Regular Season,13,A,4:00 PM,"Adokiye Amiemsimeka Stadium, Port-Harcourt",Rivers Angels,Heartland Queens,0,0,1,0,H,Completed,,,,,,,,,,
4/12/2023,2022/23,2023 NWFL Regular Season,13,B,4:00 PM,"Confluence Stadium, Lokoja, Kogi",Confluence Queens,Nassarawa Amazons,0,0,0,0,D,Completed,,,,,,,,Whyte Ogbonda,Christopher Danjuma Musa,
4/12/2023,2022/23,2023 NWFL Regular Season,13,B,4:00 PM,"Atiku Abubakar Stadium, Adamawa",Adamawa Queens,Abia Angels,0,0,1,0,H,Completed,,,,,,,,,Anne Chiejine,
4/12/2023,2022/23,2023 NWFL Regular Season,13,B,6:00 PM,"Samuel Ogbemudia Stadium, Benin City",Edo Queens,Ibom Angels,4,0,4,0,H,Completed,,,,,,,,Moses Aduku,Usen Ebuk,
4/19/2023,2022/23,2023 NWFL Regular Season,14,A,4:00 PM,"Samson Siasia Stadium, Yenogoa",Bayelsa Queens,Naija Ratels,3,0,3,0,H,Completed,,,,,,,,,,
4/19/2023,2022/23,2023 NWFL Regular Season,14,A,4:00 PM,Asaba Township Stadium,Delta Queens,Rivers Angels,1,0,1,1,D,Completed,,,,,,,,,Edwin Okon,
4/19/2023,2022/23,2023 NWFL Regular Season,14,A,4:00 PM,"Dan Anyim Stadium, Imo",Heartland Queens,Royal Queens,1,0,1,0,H,Completed,,,,"18 Chinaka Chinedu, 17 Dagogo Favour, 20 Lucky Mary, 30 Osuji Ugobest, 22 Orji Chinwendu, 23 Ekezie Onyedikachi, 6 Onwere Sharon, 25 Ofoegbu Oluchi, 19 Duru Amaechi, 13 Orgii Kelechi, 1 Onyechere Uchechi (GK)","31 Abani Osinachi, 16 Bassey Victoria, 2 Okechi Angela, 26 Akpata Ekaette, 4 Orji Chizoba, 15 Enamino Joy, 29 Okorie Mary, 32 Kalu Onyinyechi, 7 Owuama Ngozi",,,,,
4/19/2023,2022/23,2023 NWFL Regular Season,14,B,4:00 PM,"Snake Farm Pitch, Keffi",Nassarawa Amazons,Adamawa Queens,2,0,5,0,H,Completed,,"Dooshima Tarnum(30,52), Ayatsea Hembafan(43), Edeh Loveth(70), Aweda Titilayo(72)",,,,,,Christopher Danjuma Musa,,
4/19/2023,2022/23,2023 NWFL Regular Season,14,B,4:00 PM,"Umuahia Township Stadium, Umuahia",Abia Angels,Edo Queens,0,0,0,1,A,Completed,"The match between Abia Angels FC and Edo Queens FC was moved to the next morning due to heavy rain fall in Umuahia after 30 mins of play. Both teams were reportedly asked to report by 7am and complete the match on April 20, 2023. This decision was reportedly taken by the match officials and the two teams.",,Omotoke Odueke(48),,,,,Anne Chiejine,Moses Aduku,
4/19/2023,2022/23,2023 NWFL Regular Season,14,B,4:00 PM,"Legacy Pitch, Surulere, Lagos",FC Robo Queens,Confluence Queens,1,0,4,0,H,Completed,,,,,,,,Emmanuel Osahon,Whyte Ogbonda,
6/6/2023,2022/23,2023 NWFL Super 6 Tournament,1,A,10:00 AM,"Stephen Keshi Stadium, Asaba",FC Robo Queens,Rivers Angels,0,1,0,2,A,Completed,,,"Chaimaka Okwuchukwu(36), Adaobi Okah(79)","Adegbite Bukola (GK) 22, Ndubisi Esther 16, Esther Onyenezide 10, Akinwande Kehinde 4, Oladipo Shukurat 22, Shobowale Rukayat 33, Ijamilusi Folashade 13, Oke Maria 8, Adeyemo Fasilat 5, Adeboye Esther 6, Ogbuchi Chidinma 12","Olodu Mercy 1, Oladiti Rukayat 18, Yusuf Misturat 28, Ajakaye Opeyemi 20, Adebayo Raheemot 17, Afolayan Adedoyin 26, Adesoji Esther 27, Nkwocha Favour 11, Yahaya Mariam 19, Salami Mary 32, Oduntan Azeezat 23","Charlotte Adjei (GK) 12 , Offiong Immaculata 27, Ifeoma Pius 13, Edafe Mamuzo 2 , Ogbona Akudo 18, Ikenokwalu Ifeoma 6, Dah-Zozzu Alvin 23, Ikekhua Oghenebrume 11, Ambassa Alice 8, Agyaakwa Sohia 20, Okwuchukwu Chiamaka 7","Inyiama Chikamso (GK) 31, Hassan Suliat 22, Okah Adaobi 32, Okpe Blessing 10, Oladipupo Barakat 30, Alexander Florence 28, Kenneth Catherine 4, Vincent Precious 19, Aguadze Juanita 25, Obia Christiana (GK) 21, Kehinde Deborah 26",Emmanuel Osahon,,
6/6/2023,2022/23,2023 NWFL Super 6 Tournament,1,B,4:00 PM,"Stephen Keshi Stadium, Asaba",Delta Queens,Confluence Queens,2,1,3,1,H,Completed,,"Ekpenyong Effiom(19,90), Samuel Vera(34)",Peter Martha(30),"Abderline Ngbechi 28, Favour Damaris 19, Chiosom Henry 12, Samuel Vera 17, Michael Joy 22, Fehintola Mabokanje 20, Mega Cynthia 23, Inyang Esther 35, Ekpeyong Effiom 27, Mercy Omokwo 34, Agoh Chinaza 7","Onuegbu Ihuoma 21, Ajayi Oluwatobiloba 30, Sandra Johnosi 3, Samson Oghenevu 17, Folorunsho Comfort 13, Rebecca Adegbemile 11, Taiwo Afolabi 8, Usag Arit 34, Anthony Peace 9, Efitezue Blessing 4, Asooto Franca 14, Olabiyi Folajomi Alaba 15","Linda Jiwaku (GK) 1, Hauwa Abdullahi 3, Mary Opara 18, Ikoyo Rejoice 22, Oliver Jennifer 20, Oluchi Nnadi 5, Merit Offor 15, Adebiyi Saidat 4, Peter Martha 9, Amarachi Okoronkwo 6, Chukwuamaka Osigwe 10","Echefu Sylvia (GK) 24, Fagbenro Daniella 12, Azeez Zainab 8, Titilayo Abdullahi 11, Okofar Stephanie 33, Mary Mamud 29, Pius Peace 16, Emenike Chinenye 28, Omeje Priscilla 19",,Whyte Ogbonda,
6/7/2023,2022/23,2023 NWFL Super 6 Tournament,2,A,10:00 AM,"Stephen Keshi Stadium, Asaba",Bayelsa Queens,FC Robo Queens,0,0,1,0,H,Completed,,Flourish Sebastian(57),,,,,,,Emmanuel Osahon,
6/7/2023,2022/23,2023 NWFL Super 6 Tournament,2,B,4:00 PM,"Stephen Keshi Stadium, Asaba",Confluence Queens,Edo Queens,0,0,1,0,H,Completed,,Osigwe Chukwuamaka(56),,,,,,Whyte Ogbonda,Moses Aduku,
6/9/2023,2022/23,2023 NWFL Super 6 Tournament,3,A,10:00 AM,"Stephen Keshi Stadium, Asaba",Rivers Angels,Bayelsa Queens,0,1,0,1,A,Completed,,,Glory Edet(3),,,,,,,
6/9/2023,2022/23,2023 NWFL Super 6 Tournament,3,B,4:00 PM,"Stephen Keshi Stadium, Asaba",Edo Queens,Delta Queens,0,0,0,0,D,Completed,,,,,,,,Moses Aduku,,
6/11/2023,2022/23,2023 NWFL Super 6 Tournament,4,Third Place,12:00 PM,"Stephen Keshi Stadium, Asaba",Confluence Queens,Rivers Angels,0,0,0,2,A,Completed,,,"Chiamaka Okwuchukwu(61), Ikekhua Oghenebrume(68)",,,,,Whyte Ogbonda,,
6/11/2023,2022/23,2023 NWFL Super 6 Tournament,4,Final,4:00 PM,"Stephen Keshi Stadium, Asaba",Bayelsa Queens,Delta Queens,1,0,1,2,A,Completed,,Chisom Henry (14[OG]),"Chinaza Agoh(67,86)",,,,,,,
8/12/2021,2021/22,2023 NWFL Regular Season,1,A,4:00 PM,"Lokoja Confluence Stadium, Kogi State",Confluence Queens FC,Pelican Stars FC,,,4,0,H,Completed,,,,,,,,,,
8/12/2021,2021/22,2023 NWFL Regular Season,1,A,4:00 PM,"Old Parade Ground, Area 10, Abuja",Naija Ratels FC,Osun Babes FC,,,2,0,H,Completed,,,,,,,,,,
8/12/2021,2021/22,2023 NWFL Regular Season,1,A,4:00 PM,"Patani Stadium, Gombe State",Adamawa Queens FC,Edo Queens FC,,,0,2,A,Completed,,,,,,,,,,
15/12/2021,2021/22,2023 NWFL Regular Season,2,A,4:00 PM,"U. J. Esuene Stadium, Calabar, C/River",Pelican Stars FC,Nasarawa Amazons,,,0,3,A,Completed,,,,,,,,,,
15/12/2021,2021/22,2023 NWFL Regular Season,2,A,4:00 PM,"Osogbo City Stadium, Osun State",Osun Babes FC,Confluence Queens,,,0,1,A,Completed,,,,,,,,,,
15/12/2021,2021/22,2023 NWFL Regular Season,2,A,6:00 PM,"Samuel Ogbemudia Stadium, Benin, Edo",Edo Queens FC,Naija Ratels FC,,,2,2,D,Completed,,,,,,,,Wemimo Matthew,,
22/12/2021,2021/22,2023 NWFL Regular Season,3,A,4:00 PM,"Lafia City Stadium, Nasarawa State",Nasarawa Amazons FC,Osun Babes FC,,,4,0,H,Completed,,,,,,,,,,
22/12/2021,2021/22,2023 NWFL Regular Season,3,A,4:00 PM,"Lokoja Confluence Stadium, Kogi State",Confluence Queens FC,Edo Queens FC,,,1,1,D,Completed,,,,,,,,,,
22/12/2021,2021/22,2023 NWFL Regular Season,3,A,4:00 PM,"Old Parade Ground, Area 10, Abuja",Naija Ratels FC,Adamawa Queens FC,,,5,2,H,Completed,,,,,,,,,,
12/1/2022,2021/22,2023 NWFL Regular Season,4,A,6:00 PM,"Samuel Ogbemudia Stadium, Benin, Edo",Edo Queens FC,Nasarawa Amazons FC,,,2,1,H,Completed,,,,,,,,,,
12/1/2022,2021/22,2023 NWFL Regular Season,4,A,4:00 PM,"Patani Stadium, Gombe State",Adamawa Queens FC,Confluence Queens,,,1,0,H,Completed,,,,,,,,,,
12/1/2022,2021/22,2023 NWFL Regular Season,4,A,4:00 PM,"Osogbo City Stadium, Osun State",Osun Babes FC,Pelican Stars FC,,,2,0,H,Completed,,,,,,,,,,
19/01/2022,2021/22,2023 NWFL Regular Season,5,A,4:00 PM,"Lafia City Stadium, Nasarawa State",Nasarawa Amazons FC,Adamawa Queens FC,4,0,4,0,H,Completed,,"Loveth Edeh(3), Tarnum Dooshima(22,45+1), Aweda Titilayo(31)",,,,,,,,
19/01/2022,2021/22,2023 NWFL Regular Season,5,A,4:00 PM,"Lokoja Confluence Stadium, Kogi State",Confluence Queens FC,Naija Ratels FC,0,0,0,0,D,Completed,,,,,,,,,,
